filename,keyword,full_caption,source_title,source_desc,categories,image_url,
Barrel_vaulted_ceiling_in_the_church_at_Blisland_-_geograph.org.uk_-_2265549.jpg,Vaulted Ceiling,An interior architectural photo of Vaulted Ceiling. Title: Barrel vaulted ceiling in the church at Blisland - geograph.org.uk - 2265549.jpg. Description: Barrel vaulted ceiling in the church at Blisland Categories: Interior of St. Protus & St. Hyacinth (Blisland)|Images from Geograph Britain and Ireland,File:Barrel vaulted ceiling in the church at Blisland - geograph.org.uk - 2265549.jpg,Barrel vaulted ceiling in the church at Blisland,Interior of St. Protus & St. Hyacinth (Blisland)|Images from Geograph Britain and Ireland,https://upload.wikimedia.org/wikipedia/commons/c/c4/Barrel_vaulted_ceiling_in_the_church_at_Blisland_-_geograph.org.uk_-_2265549.jpg,
Fan_vaulted_ceiling_in_the_circular_Chapter_House_-_geograph.org.uk_-_3693006.jpg,Vaulted Ceiling,An interior architectural photo of Vaulted Ceiling. Title: Fan vaulted ceiling in the circular Chapter House - geograph.org.uk - 3693006.jpg. Description: Fan vaulted ceiling in the circular Chapter House Categories: Images from Geograph Britain and Ireland|Ceilings of Wells Cathedral|Interior of the chapter house of Wells Cathedral,File:Fan vaulted ceiling in the circular Chapter House - geograph.org.uk - 3693006.jpg,Fan vaulted ceiling in the circular Chapter House,Images from Geograph Britain and Ireland|Ceilings of Wells Cathedral|Interior of the chapter house of Wells Cathedral,https://upload.wikimedia.org/wikipedia/commons/8/80/Fan_vaulted_ceiling_in_the_circular_Chapter_House_-_geograph.org.uk_-_3693006.jpg,
Lichfield_Cathedral_vaulted_ceiling_(4826326294).jpg,Vaulted Ceiling,wR|Ceilings in Staffordshire|Photographs by Thomas Quine|Church ceilings in England|Interior of Lichfield Cathedral,File:Lichfield Cathedral vaulted ceiling (4826326294).jpg,Awesome interior of Lichfield Cathedral,Flickr images reviewed by FlickreviewR|Ceilings in Staffordshire|Photographs by Thomas Quine|Church ceilings in England|Interior of Lichfield Cathedral,https://upload.wikimedia.org/wikipedia/commons/2/2a/Lichfield_Cathedral_vaulted_ceiling_%284826326294%29.jpg,
"St_John's,_Edinburgh,_fan-vaulted_ceiling_-_geograph.org.uk_-_6429686.jpg",Vaulted Ceiling,"An interior architectural photo of Vaulted Ceiling. Title: St John's, Edinburgh, fan-vaulted ceiling - geograph.org.uk - 6429686.jpg. Description: St John's, Edinburgh: fan-vaulted ceiling Categories: Images from Geograph Britain and Ireland|Church of St John the Evangelist in Edinburgh - interior","File:St John's, Edinburgh, fan-vaulted ceiling - geograph.org.uk - 6429686.jpg","St John's, Edinburgh: fan-vaulted ceiling",Images from Geograph Britain and Ireland|Church of St John the Evangelist in Edinburgh - interior,https://upload.wikimedia.org/wikipedia/commons/9/9d/St_John%27s%2C_Edinburgh%2C_fan-vaulted_ceiling_-_geograph.org.uk_-_6429686.jpg,
"Vaulted_Ceiling,_Stow_Minster_-_geograph.org.uk_-_3098123.jpg",Vaulted Ceiling,"An interior architectural photo of Vaulted Ceiling. Title: Vaulted Ceiling, Stow Minster - geograph.org.uk - 3098123.jpg. Description: Vaulted Ceiling, Stow Minster Categories: Images from Geograph Britain and Ireland|St Mary's, Stow (interior)|Church roofs in Lincolnshire","File:Vaulted Ceiling, Stow Minster - geograph.org.uk - 3098123.jpg","Vaulted Ceiling, Stow Minster","Images from Geograph Britain and Ireland|St Mary's, Stow (interior)|Church roofs in Lincolnshire",https://upload.wikimedia.org/wikipedia/commons/5/58/Vaulted_Ceiling%2C_Stow_Minster_-_geograph.org.uk_-_3098123.jpg,
"Vaulted_ceiling,_Holy_Trinity_Cathedral,_Auckland.jpg",Vaulted Ceiling,"An interior architectural photo of Vaulted Ceiling. Title: Vaulted ceiling, Holy Trinity Cathedral, Auckland.jpg. Description: The vaulted ceiling above the chancel of Holy Trinity Cathedral, Auckland. Categories: Self-published work|Files with coordinates missing SDC location of creation|Church vaults in New Zealand|New Zealand photographs taken on 2025-05-05|Holy Trinity Cathedral, Auckland (interior)|May 2025 in Auckland","File:Vaulted ceiling, Holy Trinity Cathedral, Auckland.jpg","The vaulted ceiling above the chancel of Holy Trinity Cathedral, Auckland.","Self-published work|Files with coordinates missing SDC location of creation|Church vaults in New Zealand|New Zealand photographs taken on 2025-05-05|Holy Trinity Cathedral, Auckland (interior)|May 2025 in Auckland",https://upload.wikimedia.org/wikipedia/commons/f/f6/Vaulted_ceiling%2C_Holy_Trinity_Cathedral%2C_Auckland.jpg,
"Vaulted_ceiling_of_Maulbronn_Monastery_Church,_D.jpg",Vaulted Ceiling,"An interior architectural photo of Vaulted Ceiling. Title: Vaulted ceiling of Maulbronn Monastery Church, D.jpg. Description: View up to Vaulted ceiling of Maulbronn Monastery Church, D Categories: Pastels|Maulbronn|Pastel colors|Self-published work|Interior of the church of Maulbronn Monastery","File:Vaulted ceiling of Maulbronn Monastery Church, D.jpg","View up to Vaulted ceiling of Maulbronn Monastery Church, D",Pastels|Maulbronn|Pastel colors|Self-published work|Interior of the church of Maulbronn Monastery,https://upload.wikimedia.org/wikipedia/commons/8/88/Vaulted_ceiling_of_Maulbronn_Monastery_Church%2C_D.jpg,
"Barton_Turf,_St._Michael's_Church,_The_vaulted_ceiling_of_the_c15th_north_porch_.jpg",Vaulted Ceiling,"An interior architectural photo of Vaulted Ceiling. Title: Barton Turf, St. Michael's Church, The vaulted ceiling of the c15th north porch - geograph.org.uk - 6058754.jpg. Description: Barton Turf, St. Michael's Church: The vaulted ceiling of the c15th north porch Categories: Images from Geograph Britain and Ireland|St Michael and All Angels, Barton Turf (interior)","File:Barton Turf, St. Michael's Church, The vaulted ceiling of the c15th north porch - geograph.org.uk - 6058754.jpg","Barton Turf, St. Michael's Church: The vaulted ceiling of the c15th north porch","Images from Geograph Britain and Ireland|St Michael and All Angels, Barton Turf (interior)",https://upload.wikimedia.org/wikipedia/commons/0/08/Barton_Turf%2C_St._Michael%27s_Church%2C_The_vaulted_ceiling_of_the_c15th_north_porch_-_geograph.org.uk_-_6058754.jpg,
"Carlisle_Cathedral,_Barrel_Vaulted_Ceiling_-_geograph.org.uk_-_5639376.jpg",Vaulted Ceiling,"An interior architectural photo of Vaulted Ceiling. Title: Carlisle Cathedral, Barrel Vaulted Ceiling - geograph.org.uk - 5639376.jpg. Description: Carlisle Cathedral, Barrel Vaulted Ceiling Categories: Images from Geograph Britain and Ireland|Diocese of Carlisle","File:Carlisle Cathedral, Barrel Vaulted Ceiling - geograph.org.uk - 5639376.jpg","Carlisle Cathedral, Barrel Vaulted Ceiling",Images from Geograph Britain and Ireland|Diocese of Carlisle,https://upload.wikimedia.org/wikipedia/commons/e/e7/Carlisle_Cathedral%2C_Barrel_Vaulted_Ceiling_-_geograph.org.uk_-_5639376.jpg,
"The_vaulted_ceiling,_All_Saints_Church,_Underbarrow_-_geograph.org.uk_-_4668406.jpg",Vaulted Ceiling,"An interior architectural photo of Vaulted Ceiling. Title: The vaulted ceiling, All Saints Church, Underbarrow - geograph.org.uk - 4668406.jpg. Description: The vaulted ceiling, All Saints Church, Underbarrow Categories: All Saints Church, Underbarrow|Images from Geograph Britain and Ireland","File:The vaulted ceiling, All Saints Church, Underbarrow - geograph.org.uk - 4668406.jpg","The vaulted ceiling, All Saints Church, Underbarrow","All Saints Church, Underbarrow|Images from Geograph Britain and Ireland",https://upload.wikimedia.org/wikipedia/commons/3/39/The_vaulted_ceiling%2C_All_Saints_Church%2C_Underbarrow_-_geograph.org.uk_-_4668406.jpg,
Vaulted_ceiling_of_the_Jewel_Tower.jpg,Vaulted Ceiling,An interior architectural photo of Vaulted Ceiling. Title: Vaulted ceiling of the Jewel Tower.jpg. Description: Vaulted ceiling of the Jewel Tower Categories: Files from Flickr with changed licenses|Flickr images reviewed by FlickreviewR|Flickr images missing SDC creator|Flickr images missing SDC source of file|Photographs by Paulo Ordoveza|Jewel Tower (interior)|Flickr images missing SDC Flickr photo ID|Flickr images missing SDC published in,File:Vaulted ceiling of the Jewel Tower.jpg,Vaulted ceiling of the Jewel Tower,Files from Flickr with changed licenses|Flickr images reviewed by FlickreviewR|Flickr images missing SDC creator|Flickr images missing SDC source of file|Photographs by Paulo Ordoveza|Jewel Tower (interior)|Flickr images miAn interior architectural photo of Vaulted Ceiling. Title: Lichfield Cathedral vaulted ceiling (4826326294).jpg. Description: Awesome interior of Lichfield Cathedral Categories: Flickr images reviewed by Flickreviessing SDC Flickr photo ID|Flickr images missing SDC published in,https://upload.wikimedia.org/wikipedia/commons/b/be/Vaulted_ceiling_of_the_Jewel_Tower.jpg,
"Edith_weston,_St_Mary's_church,_vaulted_ceiling_(26835182218).jpg",Vaulted Ceiling,"An interior architectural photo of Vaulted Ceiling. Title: Edith weston, St Mary's church, vaulted ceiling (26835182218).jpg. Description: Edith weston, St Mary's church, vaulted ceiling Categories: Flickr images reviewed by FlickreviewR 2|Files with coordinates missing SDC location of creation (52° N, 1° W)|St Mary's church, Edith Weston (interior)","File:Edith weston, St Mary's church, vaulted ceiling (26835182218).jpg","Edith weston, St Mary's church, vaulted ceiling","Flickr images reviewed by FlickreviewR 2|Files with coordinates missing SDC location of creation (52° N, 1° W)|St Mary's church, Edith Weston (interior)",https://upload.wikimedia.org/wikipedia/commons/1/14/Edith_weston%2C_St_Mary%27s_church%2C_vaulted_ceiling_%2826835182218%29.jpg,
Tyntesfield_house_interior_vaulted_ceiling.jpg,Vaulted Ceiling,"An interior architectural photo of Vaulted Ceiling. Title: Tyntesfield house interior vaulted ceiling.jpg. Description: The vaulted ceiling is the feature attraction of the house Categories: Self-published work|Files with coordinates missing SDC location of creation (51° N, 3° W)|Hall of Tyntesfield, Somerset",File:Tyntesfield house interior vaulted ceiling.jpg,The vaulted ceiling is the feature attraction of the house,"Self-published work|Files with coordinates missing SDC location of creation (51° N, 3° W)|Hall of Tyntesfield, Somerset",https://upload.wikimedia.org/wikipedia/commons/3/3e/Tyntesfield_house_interior_vaulted_ceiling.jpg,
Interior_of_Exeter_Cathedral_20180616-1.jpg,Vaulted Ceiling,"An interior architectural photo of Vaulted Ceiling. Title: Interior of Exeter Cathedral 20180616-1.jpg. Description: Interior of Exeter Cathedral Categories: Self-published work|Vaulted ceiling, Exeter Cathedral",File:Interior of Exeter Cathedral 20180616-1.jpg,Interior of Exeter Cathedral,"Self-published work|Vaulted ceiling, Exeter Cathedral",https://upload.wikimedia.org/wikipedia/commons/d/d0/Interior_of_Exeter_Cathedral_20180616-1.jpg,
